DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,Lat,Lng,Date
35.7,2016,1,1,23,0,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
35.7,2016,1,1,23,0,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
35.9,2016,1,7,18,0,Los Angeles-North Main Street,34.06659,-118.22688,1/7/2016
47.6,2016,1,13,22,0,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
47.6,2016,1,13,22,0,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
27.9,2016,1,19,22,0,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
27.9,2016,1,19,22,0,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
46.3,2016,1,25,23,0,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
46.3,2016,1,25,23,0,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
19.8,2016,1,31,23,0,Los Angeles-North Main Street,34.06659,-118.22688,1/31/2016
49.6,2016,2,6,23,0,Los Angeles-North Main Street,34.06659,-118.22688,2/6/2016
61.7,2016,2,12,22,0,Los Angeles-North Main Street,34.06659,-118.22688,2/12/2016
39.7,2016,2,18,23,0,Los Angeles-North Main Street,34.06659,-118.22688,2/18/2016
54.5,2016,2,24,23,0,Los Angeles-North Main Street,34.06659,-118.22688,2/24/2016
27.3,2016,3,7,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
27.3,2016,3,7,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
22.7,2016,3,13,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
22.7,2016,3,13,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
28,2016,3,19,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
28,2016,3,19,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
41.9,2016,3,25,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
41.9,2016,3,25,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
31.8,2016,3,31,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
31.8,2016,3,31,23,0,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
41.9,2016,4,6,22,0,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
41.9,2016,4,6,22,0,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
29.5,2016,4,12,21,0,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
29.5,2016,4,12,21,0,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
53.6,2016,4,18,23,0,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
53.6,2016,4,18,23,0,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
26.9,2016,4,24,22,0,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
26.9,2016,4,24,22,0,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
18.8,2016,4,30,23,0,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
18.8,2016,4,30,23,0,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
26.6,2016,5,7,23,0,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
26.6,2016,5,7,23,0,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
21.2,2016,5,18,21,0,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
21.2,2016,5,18,21,0,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
20.9,2016,5,24,21,0,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
20.9,2016,5,24,21,0,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
10.7,2016,5,30,23,0,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
10.7,2016,5,30,23,0,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
18.5,2016,6,5,22,0,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
18.5,2016,6,5,22,0,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
12.3,2016,6,11,21,0,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
12.3,2016,6,11,21,0,Los Angeles-North Main Street,34.06659,-118.22688,6/11/2016
40.1,2016,6,17,22,0,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
40.1,2016,6,17,22,0,Los Angeles-North Main Street,34.06659,-118.22688,6/17/2016
18.4,2016,6,23,22,0,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
18.4,2016,6,23,22,0,Los Angeles-North Main Street,34.06659,-118.22688,6/23/2016
36.2,2016,6,29,21,0,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
36.2,2016,6,29,21,0,Los Angeles-North Main Street,34.06659,-118.22688,6/29/2016
20.9,2016,7,5,19,0,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
20.9,2016,7,5,19,0,Los Angeles-North Main Street,34.06659,-118.22688,7/5/2016
19.4,2016,7,11,21,0,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
19.4,2016,7,11,21,0,Los Angeles-North Main Street,34.06659,-118.22688,7/11/2016
10.8,2016,7,17,23,0,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
10.8,2016,7,17,23,0,Los Angeles-North Main Street,34.06659,-118.22688,7/17/2016
44.4,2016,7,23,22,0,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
44.4,2016,7,23,22,0,Los Angeles-North Main Street,34.06659,-118.22688,7/23/2016
22.4,2016,8,4,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
22.4,2016,8,4,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/4/2016
25,2016,8,10,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
25,2016,8,10,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/10/2016
33.5,2016,8,22,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
33.5,2016,8,22,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/22/2016
22.4,2016,8,28,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
22.4,2016,8,28,24,0,Los Angeles-North Main Street,34.06659,-118.22688,8/28/2016
12.2,2016,9,3,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
12.2,2016,9,3,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/3/2016
18.3,2016,9,9,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
18.3,2016,9,9,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/9/2016
28.3,2016,9,15,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
28.3,2016,9,15,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/15/2016
45.8,2016,9,27,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
45.8,2016,9,27,24,0,Los Angeles-North Main Street,34.06659,-118.22688,9/27/2016
35.5,2016,10,3,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
35.5,2016,10,3,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/3/2016
39.6,2016,10,9,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
39.6,2016,10,9,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/9/2016
15.8,2016,10,15,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
15.8,2016,10,15,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/15/2016
48.8,2016,10,21,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
48.8,2016,10,21,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/21/2016
54.9,2016,10,27,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
54.9,2016,10,27,24,0,Los Angeles-North Main Street,34.06659,-118.22688,10/27/2016
52.2,2016,11,2,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
52.2,2016,11,2,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/2/2016
59.5,2016,11,8,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
59.5,2016,11,8,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/8/2016
48.4,2016,11,14,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
48.4,2016,11,14,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/14/2016
34.9,2016,11,20,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
34.9,2016,11,20,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/20/2016
36.8,2016,11,26,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
36.8,2016,11,26,24,0,Los Angeles-North Main Street,34.06659,-118.22688,11/26/2016
37.7,2016,12,8,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
37.7,2016,12,8,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/8/2016
45.2,2016,12,14,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/14/2016
50.1,2016,12,20,22,0,Los Angeles-North Main Street,34.06659,-118.22688,12/20/2016
33.2,2016,12,26,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
33.2,2016,12,26,24,0,Los Angeles-North Main Street,34.06659,-118.22688,12/26/2016
39.2,2016,1,7,22,0,Long Beach (Hudson),33.8025,-118.22,1/7/2016
51.3,2016,1,13,23,0,Long Beach (Hudson),33.8025,-118.22,1/13/2016
28.9,2016,1,19,22,0,Long Beach (Hudson),33.8025,-118.22,1/19/2016
42,2016,1,25,23,0,Long Beach (Hudson),33.8025,-118.22,1/25/2016
13.9,2016,1,31,23,0,Long Beach (Hudson),33.8025,-118.22,1/31/2016
75.6,2016,2,12,23,0,Long Beach (Hudson),33.8025,-118.22,2/12/2016
36.1,2016,2,18,23,0,Long Beach (Hudson),33.8025,-118.22,2/18/2016
51.8,2016,2,24,21,0,Long Beach (Hudson),33.8025,-118.22,2/24/2016
46.1,2016,3,1,21,0,Long Beach (Hudson),33.8025,-118.22,3/1/2016
31.8,2016,3,7,23,0,Long Beach (Hudson),33.8025,-118.22,3/7/2016
24.2,2016,3,13,23,0,Long Beach (Hudson),33.8025,-118.22,3/13/2016
19,2016,3,19,23,0,Long Beach (Hudson),33.8025,-118.22,3/19/2016
34.3,2016,3,25,23,0,Long Beach (Hudson),33.8025,-118.22,3/25/2016
35.1,2016,3,31,23,0,Long Beach (Hudson),33.8025,-118.22,3/31/2016
38.1,2016,4,6,22,0,Long Beach (Hudson),33.8025,-118.22,4/6/2016
26.6,2016,4,12,22,0,Long Beach (Hudson),33.8025,-118.22,4/12/2016
50,2016,4,18,23,0,Long Beach (Hudson),33.8025,-118.22,4/18/2016
16.7,2016,4,24,23,0,Long Beach (Hudson),33.8025,-118.22,4/24/2016
11.9,2016,4,30,23,0,Long Beach (Hudson),33.8025,-118.22,4/30/2016
23.8,2016,5,6,23,0,Long Beach (Hudson),33.8025,-118.22,5/6/2016
24.1,2016,5,12,23,0,Long Beach (Hudson),33.8025,-118.22,5/12/2016
21.2,2016,5,18,23,0,Long Beach (Hudson),33.8025,-118.22,5/18/2016
