DMean PM10,Year,Month,Day,PM-WEIGHT,Flag,Site Name,Lat,Lng,Date
17,2016,1,1,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
17,2016,1,1,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/1/2016
7,2016,1,7,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/7/2016
22,2016,1,13,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
22,2016,1,13,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/13/2016
18,2016,1,19,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
18,2016,1,19,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/19/2016
26,2016,1,25,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
26,2016,1,25,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/25/2016
10,2016,1,31,1,0,Los Angeles-North Main Street,34.06659,-118.22688,1/31/2016
17,2016,2,6,1,0,Los Angeles-North Main Street,34.06659,-118.22688,2/6/2016
38,2016,2,12,1,0,Los Angeles-North Main Street,34.06659,-118.22688,2/12/2016
13,2016,2,18,1,0,Los Angeles-North Main Street,34.06659,-118.22688,2/18/2016
22,2016,2,24,1,0,Los Angeles-North Main Street,34.06659,-118.22688,2/24/2016
12,2016,3,7,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
12,2016,3,7,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/7/2016
19,2016,3,13,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
19,2016,3,13,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/13/2016
41,2016,3,19,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
41,2016,3,19,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/19/2016
28,2016,3,25,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
28,2016,3,25,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/25/2016
25,2016,3,31,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
25,2016,3,31,1,0,Los Angeles-North Main Street,34.06659,-118.22688,3/31/2016
26,2016,4,6,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
26,2016,4,6,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/6/2016
18,2016,4,12,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
18,2016,4,12,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/12/2016
26,2016,4,18,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
26,2016,4,18,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/18/2016
28,2016,4,24,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
28,2016,4,24,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/24/2016
24,2016,4,30,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
24,2016,4,30,1,0,Los Angeles-North Main Street,34.06659,-118.22688,4/30/2016
10,2016,5,7,1,0,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
10,2016,5,7,1,0,Los Angeles-North Main Street,34.06659,-118.22688,5/7/2016
18,2016,5,18,1,0,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
18,2016,5,18,1,0,Los Angeles-North Main Street,34.06659,-118.22688,5/18/2016
13,2016,5,24,1,0,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
13,2016,5,24,1,0,Los Angeles-North Main Street,34.06659,-118.22688,5/24/2016
16,2016,5,30,1,0,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
16,2016,5,30,1,0,Los Angeles-North Main Street,34.06659,-118.22688,5/30/2016
12,2016,6,5,1,0,Los Angeles-North Main Street,34.06659,-118.22688,6/5/2016
