DMax NO2,NO2-WEIGHT,Year,Month,Day,Flag,Site Name,Lat,Lng,Date
15,24,2016,1,1,0,Newark Firehouse,40.720989,-74.192892,1/1/2016
20,24,2016,1,4,0,Newark Firehouse,40.720989,-74.192892,1/4/2016
70,24,2016,1,7,0,Newark Firehouse,40.720989,-74.192892,1/7/2016
27,21,2016,1,10,0,Newark Firehouse,40.720989,-74.192892,1/10/2016
19,24,2016,1,13,0,Newark Firehouse,40.720989,-74.192892,1/13/2016
47,24,2016,1,16,0,Newark Firehouse,40.720989,-74.192892,1/16/2016
13,24,2016,1,19,0,Newark Firehouse,40.720989,-74.192892,1/19/2016
34,24,2016,1,22,0,Newark Firehouse,40.720989,-74.192892,1/22/2016
49,24,2016,1,25,0,Newark Firehouse,40.720989,-74.192892,1/25/2016
95,21,2016,1,28,0,Newark Firehouse,40.720989,-74.192892,1/28/2016
50,21,2016,1,31,0,Newark Firehouse,40.720989,-74.192892,1/31/2016
47,24,2016,2,3,0,Newark Firehouse,40.720989,-74.192892,2/3/2016
37,24,2016,2,6,0,Newark Firehouse,40.720989,-74.192892,2/6/2016
38,24,2016,2,9,0,Newark Firehouse,40.720989,-74.192892,2/9/2016
25,24,2016,2,12,0,Newark Firehouse,40.720989,-74.192892,2/12/2016
21,24,2016,2,18,0,Newark Firehouse,40.720989,-74.192892,2/18/2016
44,21,2016,2,21,0,Newark Firehouse,40.720989,-74.192892,2/21/2016
41,24,2016,2,24,0,Newark Firehouse,40.720989,-74.192892,2/24/2016
35,24,2016,2,27,0,Newark Firehouse,40.720989,-74.192892,2/27/2016
32,24,2016,3,1,0,Newark Firehouse,40.720989,-74.192892,3/1/2016
60,24,2016,3,16,0,Newark Firehouse,40.720989,-74.192892,3/16/2016
33,24,2016,3,19,0,Newark Firehouse,40.720989,-74.192892,3/19/2016
33,21,2016,3,22,0,Newark Firehouse,40.720989,-74.192892,3/22/2016
39,24,2016,3,25,0,Newark Firehouse,40.720989,-74.192892,3/25/2016
33,24,2016,3,28,0,Newark Firehouse,40.720989,-74.192892,3/28/2016
49,24,2016,3,31,0,Newark Firehouse,40.720989,-74.192892,3/31/2016
14,21,2016,4,3,0,Newark Firehouse,40.720989,-74.192892,4/3/2016
46,24,2016,4,6,0,Newark Firehouse,40.720989,-74.192892,4/6/2016
39,24,2016,4,9,0,Newark Firehouse,40.720989,-74.192892,4/9/2016
18,24,2016,4,12,0,Newark Firehouse,40.720989,-74.192892,4/12/2016
39,24,2016,4,15,0,Newark Firehouse,40.720989,-74.192892,4/15/2016
45,24,2016,4,18,0,Newark Firehouse,40.720989,-74.192892,4/18/2016
31,24,2016,4,21,0,Newark Firehouse,40.720989,-74.192892,4/21/2016
48,21,2016,4,24,0,Newark Firehouse,40.720989,-74.192892,4/24/2016
22,24,2016,4,27,0,Newark Firehouse,40.720989,-74.192892,4/27/2016
23,24,2016,4,30,0,Newark Firehouse,40.720989,-74.192892,4/30/2016
36,24,2016,5,3,0,Newark Firehouse,40.720989,-74.192892,5/3/2016
22,24,2016,5,6,0,Newark Firehouse,40.720989,-74.192892,5/6/2016
31,24,2016,5,9,0,Newark Firehouse,40.720989,-74.192892,5/9/2016
55,24,2016,5,12,0,Newark Firehouse,40.720989,-74.192892,5/12/2016
9,21,2016,5,15,0,Newark Firehouse,40.720989,-74.192892,5/15/2016
28,24,2016,5,18,0,Newark Firehouse,40.720989,-74.192892,5/18/2016
45,24,2016,5,21,0,Newark Firehouse,40.720989,-74.192892,5/21/2016
42,24,2016,5,24,0,Newark Firehouse,40.720989,-74.192892,5/24/2016
48,24,2016,5,27,0,Newark Firehouse,40.720989,-74.192892,5/27/2016
7,24,2016,5,30,0,Newark Firehouse,40.720989,-74.192892,5/30/2016
26,24,2016,6,2,0,Newark Firehouse,40.720989,-74.192892,6/2/2016
21,21,2016,6,5,0,Newark Firehouse,40.720989,-74.192892,6/5/2016
9,24,2016,6,8,0,Newark Firehouse,40.720989,-74.192892,6/8/2016
36,24,2016,6,11,0,Newark Firehouse,40.720989,-74.192892,6/11/2016
18,24,2016,6,14,0,Newark Firehouse,40.720989,-74.192892,6/14/2016
31,24,2016,6,17,0,Newark Firehouse,40.720989,-74.192892,6/17/2016
45,24,2016,6,20,0,Newark Firehouse,40.720989,-74.192892,6/20/2016
55,24,2016,6,23,0,Newark Firehouse,40.720989,-74.192892,6/23/2016
17,21,2016,6,26,0,Newark Firehouse,40.720989,-74.192892,6/26/2016
16,24,2016,6,29,0,Newark Firehouse,40.720989,-74.192892,6/29/2016
16,24,2016,7,2,0,Newark Firehouse,40.720989,-74.192892,7/2/2016
20,24,2016,7,5,0,Newark Firehouse,40.720989,-74.192892,7/5/2016
30,24,2016,7,11,0,Newark Firehouse,40.720989,-74.192892,7/11/2016
60,24,2016,7,14,0,Newark Firehouse,40.720989,-74.192892,7/14/2016
25,21,2016,7,17,0,Newark Firehouse,40.720989,-74.192892,7/17/2016
26,24,2016,7,20,0,Newark Firehouse,40.720989,-74.192892,7/20/2016
14,24,2016,7,23,0,Newark Firehouse,40.720989,-74.192892,7/23/2016
15,24,2016,7,26,0,Newark Firehouse,40.720989,-74.192892,7/26/2016
22,24,2016,7,29,0,Newark Firehouse,40.720989,-74.192892,7/29/2016
30,22,2016,8,1,0,Newark Firehouse,40.720989,-74.192892,8/1/2016
27,24,2016,8,4,0,Newark Firehouse,40.720989,-74.192892,8/4/2016
26,21,2016,8,7,0,Newark Firehouse,40.720989,-74.192892,8/7/2016
19,24,2016,8,10,0,Newark Firehouse,40.720989,-74.192892,8/10/2016
15,24,2016,8,13,0,Newark Firehouse,40.720989,-74.192892,8/13/2016
20,24,2016,8,16,0,Newark Firehouse,40.720989,-74.192892,8/16/2016
33,24,2016,8,19,0,Newark Firehouse,40.720989,-74.192892,8/19/2016
15,24,2016,8,22,0,Newark Firehouse,40.720989,-74.192892,8/22/2016
19,24,2016,8,25,0,Newark Firehouse,40.720989,-74.192892,8/25/2016
25,21,2016,8,28,0,Newark Firehouse,40.720989,-74.192892,8/28/2016
23,24,2016,8,31,0,Newark Firehouse,40.720989,-74.192892,8/31/2016
18,24,2016,9,3,0,Newark Firehouse,40.720989,-74.192892,9/3/2016
10,24,2016,9,6,0,Newark Firehouse,40.720989,-74.192892,9/6/2016
21,24,2016,9,9,0,Newark Firehouse,40.720989,-74.192892,9/9/2016
18,24,2016,9,12,0,Newark Firehouse,40.720989,-74.192892,9/12/2016
23,24,2016,9,15,0,Newark Firehouse,40.720989,-74.192892,9/15/2016
32,21,2016,9,18,0,Newark Firehouse,40.720989,-74.192892,9/18/2016
31,24,2016,9,21,0,Newark Firehouse,40.720989,-74.192892,9/21/2016
12,24,2016,9,30,0,Newark Firehouse,40.720989,-74.192892,9/30/2016
44,24,2016,10,3,0,Newark Firehouse,40.720989,-74.192892,10/3/2016
47,24,2016,10,6,0,Newark Firehouse,40.720989,-74.192892,10/6/2016
7,21,2016,10,9,0,Newark Firehouse,40.720989,-74.192892,10/9/2016
33,24,2016,10,12,0,Newark Firehouse,40.720989,-74.192892,10/12/2016
31,24,2016,10,15,0,Newark Firehouse,40.720989,-74.192892,10/15/2016
29,24,2016,10,18,0,Newark Firehouse,40.720989,-74.192892,10/18/2016
37,18,2016,10,21,0,Newark Firehouse,40.720989,-74.192892,10/21/2016
30,21,2016,10,24,0,Newark Firehouse,40.720989,-74.192892,10/24/2016
36,24,2016,10,27,0,Newark Firehouse,40.720989,-74.192892,10/27/2016
21,21,2016,10,30,0,Newark Firehouse,40.720989,-74.192892,10/30/2016
34,24,2016,11,2,0,Newark Firehouse,40.720989,-74.192892,11/2/2016
33,24,2016,11,5,0,Newark Firehouse,40.720989,-74.192892,11/5/2016
56,24,2016,11,8,0,Newark Firehouse,40.720989,-74.192892,11/8/2016
25,24,2016,11,11,0,Newark Firehouse,40.720989,-74.192892,11/11/2016
30,24,2016,11,17,0,Newark Firehouse,40.720989,-74.192892,11/17/2016
5,21,2016,11,20,0,Newark Firehouse,40.720989,-74.192892,11/20/2016
29,24,2016,11,23,0,Newark Firehouse,40.720989,-74.192892,11/23/2016
21,24,2016,11,26,0,Newark Firehouse,40.720989,-74.192892,11/26/2016
41,24,2016,11,29,0,Newark Firehouse,40.720989,-74.192892,11/29/2016
16,24,2016,12,2,0,Newark Firehouse,40.720989,-74.192892,12/2/2016
33,24,2016,12,5,0,Newark Firehouse,40.720989,-74.192892,12/5/2016
26,24,2016,12,8,0,Newark Firehouse,40.720989,-74.192892,12/8/2016
34,21,2016,12,11,0,Newark Firehouse,40.720989,-74.192892,12/11/2016
40,24,2016,12,17,0,Newark Firehouse,40.720989,-74.192892,12/17/2016
41,24,2016,12,20,0,Newark Firehouse,40.720989,-74.192892,12/20/2016
29,24,2018,1,2,0,Newark Firehouse,40.720989,-74.192892,1/2/2018
10,24,2018,1,5,0,Newark Firehouse,40.720989,-74.192892,1/5/2018
36,24,2018,1,8,0,Newark Firehouse,40.720989,-74.192892,1/8/2018
77,24,2018,1,11,0,Newark Firehouse,40.720989,-74.192892,1/11/2018
34,24,2018,1,17,0,Newark Firehouse,40.720989,-74.192892,1/17/2018
43,24,2018,1,20,0,Newark Firehouse,40.720989,-74.192892,1/20/2018
48,24,2018,1,23,0,Newark Firehouse,40.720989,-74.192892,1/23/2018
37,24,2018,1,26,0,Newark Firehouse,40.720989,-74.192892,1/26/2018
29,24,2018,1,29,0,Newark Firehouse,40.720989,-74.192892,1/29/2018
38,24,2018,2,1,0,Newark Firehouse,40.720989,-74.192892,2/1/2018
42,21,2018,2,4,0,Newark Firehouse,40.720989,-74.192892,2/4/2018
25,24,2018,2,16,0,Newark Firehouse,40.720989,-74.192892,2/16/2018
43,24,2018,2,19,0,Newark Firehouse,40.720989,-74.192892,2/19/2018
18,24,2018,2,22,0,Newark Firehouse,40.720989,-74.192892,2/22/2018
21,21,2018,2,25,0,Newark Firehouse,40.720989,-74.192892,2/25/2018
43,24,2018,2,28,0,Newark Firehouse,40.720989,-74.192892,2/28/2018
8,24,2018,3,3,0,Newark Firehouse,40.720989,-74.192892,3/3/2018
35,24,2018,3,6,0,Newark Firehouse,40.720989,-74.192892,3/6/2018
25,24,2018,3,9,0,Newark Firehouse,40.720989,-74.192892,3/9/2018
26,24,2018,3,12,0,Newark Firehouse,40.720989,-74.192892,3/12/2018
16,24,2018,3,15,0,Newark Firehouse,40.720989,-74.192892,3/15/2018
14,24,2018,3,21,0,Newark Firehouse,40.720989,-74.192892,3/21/2018
10,24,2018,3,24,0,Newark Firehouse,40.720989,-74.192892,3/24/2018
38,24,2018,3,27,0,Newark Firehouse,40.720989,-74.192892,3/27/2018
46,24,2018,3,30,0,Newark Firehouse,40.720989,-74.192892,3/30/2018
39,24,2018,4,2,0,Newark Firehouse,40.720989,-74.192892,4/2/2018
39,24,2018,4,5,0,Newark Firehouse,40.720989,-74.192892,4/5/2018
9,21,2018,4,8,0,Newark Firehouse,40.720989,-74.192892,4/8/2018
42,24,2018,4,11,0,Newark Firehouse,40.720989,-74.192892,4/11/2018
24,24,2018,4,14,0,Newark Firehouse,40.720989,-74.192892,4/14/2018
9,24,2018,4,17,0,Newark Firehouse,40.720989,-74.192892,4/17/2018
9,21,2018,4,29,0,Newark Firehouse,40.720989,-74.192892,4/29/2018
31,24,2018,5,8,0,Newark Firehouse,40.720989,-74.192892,5/8/2018
26,24,2018,5,11,0,Newark Firehouse,40.720989,-74.192892,5/11/2018
38,24,2018,5,14,0,Newark Firehouse,40.720989,-74.192892,5/14/2018
27,24,2018,5,17,0,Newark Firehouse,40.720989,-74.192892,5/17/2018
23,21,2018,5,20,0,Newark Firehouse,40.720989,-74.192892,5/20/2018
21,24,2018,5,26,0,Newark Firehouse,40.720989,-74.192892,5/26/2018
41,24,2018,6,1,0,Newark Firehouse,40.720989,-74.192892,6/1/2018
24,24,2018,6,7,0,Newark Firehouse,40.720989,-74.192892,6/7/2018
25,21,2018,6,10,0,Newark Firehouse,40.720989,-74.192892,6/10/2018
19,24,2018,6,13,0,Newark Firehouse,40.720989,-74.192892,6/13/2018
21,24,2018,6,16,0,Newark Firehouse,40.720989,-74.192892,6/16/2018
12,24,2018,6,19,0,Newark Firehouse,40.720989,-74.192892,6/19/2018
22,24,2018,6,22,0,Newark Firehouse,40.720989,-74.192892,6/22/2018
12,24,2018,6,25,0,Newark Firehouse,40.720989,-74.192892,6/25/2018
29,24,2018,6,28,0,Newark Firehouse,40.720989,-74.192892,6/28/2018
24,21,2018,7,4,0,Newark Firehouse,40.720989,-74.192892,7/4/2018
13,24,2018,7,7,0,Newark Firehouse,40.720989,-74.192892,7/7/2018
29,24,2018,7,10,0,Newark Firehouse,40.720989,-74.192892,7/10/2018
