DMean PM10,Year,Month,Day,PM-WEIGHT,Flag,Site Name,Lat,Lng,Date
3,2016,1,1,1,0,Newark Firehouse,40.720989,-74.192892,1/1/2016
4,2016,1,4,1,0,Newark Firehouse,40.720989,-74.192892,1/4/2016
45,2016,1,7,1,0,Newark Firehouse,40.720989,-74.192892,1/7/2016
12,2016,1,10,1,0,Newark Firehouse,40.720989,-74.192892,1/10/2016
10,2016,1,13,1,0,Newark Firehouse,40.720989,-74.192892,1/13/2016
7,2016,1,16,1,0,Newark Firehouse,40.720989,-74.192892,1/16/2016
6,2016,1,19,1,0,Newark Firehouse,40.720989,-74.192892,1/19/2016
6,2016,1,22,1,0,Newark Firehouse,40.720989,-74.192892,1/22/2016
23,2016,1,25,1,0,Newark Firehouse,40.720989,-74.192892,1/25/2016
26,2016,1,28,1,0,Newark Firehouse,40.720989,-74.192892,1/28/2016
21,2016,1,31,1,0,Newark Firehouse,40.720989,-74.192892,1/31/2016
16,2016,2,3,1,0,Newark Firehouse,40.720989,-74.192892,2/3/2016
13,2016,2,6,1,0,Newark Firehouse,40.720989,-74.192892,2/6/2016
17,2016,2,9,1,0,Newark Firehouse,40.720989,-74.192892,2/9/2016
8,2016,2,12,1,0,Newark Firehouse,40.720989,-74.192892,2/12/2016
6,2016,2,18,1,0,Newark Firehouse,40.720989,-74.192892,2/18/2016
10,2016,2,21,1,0,Newark Firehouse,40.720989,-74.192892,2/21/2016
8,2016,2,24,1,0,Newark Firehouse,40.720989,-74.192892,2/24/2016
6,2016,2,27,1,0,Newark Firehouse,40.720989,-74.192892,2/27/2016
13,2016,3,1,1,0,Newark Firehouse,40.720989,-74.192892,3/1/2016
19,2016,3,16,1,0,Newark Firehouse,40.720989,-74.192892,3/16/2016
4,2016,3,19,1,0,Newark Firehouse,40.720989,-74.192892,3/19/2016
10,2016,3,22,1,0,Newark Firehouse,40.720989,-74.192892,3/22/2016
27,2016,3,25,1,0,Newark Firehouse,40.720989,-74.192892,3/25/2016
6,2016,3,28,1,0,Newark Firehouse,40.720989,-74.192892,3/28/2016
20,2016,3,31,1,0,Newark Firehouse,40.720989,-74.192892,3/31/2016
4,2016,4,3,1,0,Newark Firehouse,40.720989,-74.192892,4/3/2016
14,2016,4,6,1,0,Newark Firehouse,40.720989,-74.192892,4/6/2016
7,2016,4,9,1,0,Newark Firehouse,40.720989,-74.192892,4/9/2016
8,2016,4,12,1,0,Newark Firehouse,40.720989,-74.192892,4/12/2016
33,2016,4,15,1,0,Newark Firehouse,40.720989,-74.192892,4/15/2016
24,2016,4,18,1,0,Newark Firehouse,40.720989,-74.192892,4/18/2016
21,2016,4,21,1,0,Newark Firehouse,40.720989,-74.192892,4/21/2016
11,2016,4,24,1,0,Newark Firehouse,40.720989,-74.192892,4/24/2016
12,2016,4,27,1,0,Newark Firehouse,40.720989,-74.192892,4/27/2016
11,2016,4,30,1,0,Newark Firehouse,40.720989,-74.192892,4/30/2016
