DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,LAt,Lng,Date
8,2016,8,27,23,0,Millbrook School,35.856111,-78.574167,8/27/2016
2,2016,8,28,23,0,Millbrook School,35.856111,-78.574167,8/28/2016
2,2016,8,28,23,0,Millbrook School,35.856111,-78.574167,8/28/2016
2,2016,8,28,23,0,Millbrook School,35.856111,-78.574167,8/28/2016
6.7,2016,9,2,23,0,Millbrook School,35.856111,-78.574167,9/2/2016
5.2,2016,9,10,23,0,Millbrook School,35.856111,-78.574167,9/10/2016
3,2016,9,11,23,0,Millbrook School,35.856111,-78.574167,9/11/2016
7.2,2016,9,12,23,0,Millbrook School,35.856111,-78.574167,9/12/2016
7.2,2016,9,12,23,0,Millbrook School,35.856111,-78.574167,9/12/2016
11.3,2016,9,13,23,0,Millbrook School,35.856111,-78.574167,9/13/2016
13.9,2016,9,14,23,0,Millbrook School,35.856111,-78.574167,9/14/2016
12.2,2016,9,15,19,0,Millbrook School,35.856111,-78.574167,9/15/2016
12.2,2016,9,15,19,0,Millbrook School,35.856111,-78.574167,9/15/2016
12.2,2016,9,15,19,0,Millbrook School,35.856111,-78.574167,9/15/2016
2.6,2016,9,16,23,0,Millbrook School,35.856111,-78.574167,9/16/2016
8,2016,9,17,23,0,Millbrook School,35.856111,-78.574167,9/17/2016
3.3,2016,9,18,23,0,Millbrook School,35.856111,-78.574167,9/18/2016
3.3,2016,9,18,23,0,Millbrook School,35.856111,-78.574167,9/18/2016
3.1,2016,9,20,23,0,Millbrook School,35.856111,-78.574167,9/20/2016
3.1,2016,9,22,23,0,Millbrook School,35.856111,-78.574167,9/22/2016
10.5,2016,9,23,23,0,Millbrook School,35.856111,-78.574167,9/23/2016
23.8,2016,9,24,23,0,Millbrook School,35.856111,-78.574167,9/24/2016
23.8,2016,9,24,23,0,Millbrook School,35.856111,-78.574167,9/24/2016
2.7,2016,9,25,23,0,Millbrook School,35.856111,-78.574167,9/25/2016
12.4,2016,9,26,23,0,Millbrook School,35.856111,-78.574167,9/26/2016
8.8,2016,9,27,23,0,Millbrook School,35.856111,-78.574167,9/27/2016
8.8,2016,9,27,23,0,Millbrook School,35.856111,-78.574167,9/27/2016
8.8,2016,9,27,23,0,Millbrook School,35.856111,-78.574167,9/27/2016
9.8,2016,9,28,23,0,Millbrook School,35.856111,-78.574167,9/28/2016
6.8,2016,9,30,23,0,Millbrook School,35.856111,-78.574167,9/30/2016
6.8,2016,9,30,23,0,Millbrook School,35.856111,-78.574167,9/30/2016
15.1,2016,10,1,23,0,Millbrook School,35.856111,-78.574167,10/1/2016
11.1,2016,10,2,23,0,Millbrook School,35.856111,-78.574167,10/2/2016
9.5,2016,10,3,23,0,Millbrook School,35.856111,-78.574167,10/3/2016
9.5,2016,10,3,23,0,Millbrook School,35.856111,-78.574167,10/3/2016
9.5,2016,10,3,23,0,Millbrook School,35.856111,-78.574167,10/3/2016
5.1,2016,10,4,23,0,Millbrook School,35.856111,-78.574167,10/4/2016
3.3,2016,10,5,21,0,Millbrook School,35.856111,-78.574167,10/5/2016
5.6,2016,10,6,19,0,Millbrook School,35.856111,-78.574167,10/6/2016
5.6,2016,10,6,19,0,Millbrook School,35.856111,-78.574167,10/6/2016
2.5,2016,10,7,23,0,Millbrook School,35.856111,-78.574167,10/7/2016
1.2,2016,10,8,23,0,Millbrook School,35.856111,-78.574167,10/8/2016
