DMax NO2,Year,Month,Day,NO2-WEIGHT,Flag,Site Name,LAt,Lng,Date
26.5,2018,1,2,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/2/2018
24.1,2018,1,11,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/11/2018
24,2018,1,14,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/14/2018
14.8,2018,1,20,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/20/2018
34.6,2018,1,23,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/23/2018
16.4,2018,1,26,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/26/2018
27,2018,2,1,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/1/2018
21.9,2018,2,7,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/7/2018
29,2018,2,10,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/10/2018
31.4,2018,2,13,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/13/2018
9.6,2018,2,16,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/16/2018
17.8,2018,2,19,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/19/2018
19.7,2018,2,22,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/22/2018
12,2018,2,25,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/25/2018
20.7,2018,2,28,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/28/2018
16.8,2018,3,3,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/3/2018
14.1,2018,3,6,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/6/2018
16.6,2018,3,9,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/9/2018
36.7,2018,3,12,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/12/2018
25,2018,3,15,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/15/2018
15.4,2018,3,18,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/18/2018
39.7,2018,3,21,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/21/2018
25,2018,3,24,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/24/2018
7.9,2018,3,27,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/27/2018
32.7,2018,3,30,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/30/2018
22,2018,4,2,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/2/2018
24.7,2018,4,5,18,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/5/2018
11.5,2018,4,11,21,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/11/2018
19.1,2018,4,14,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/14/2018
12.3,2018,4,17,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/17/2018
20.5,2018,4,20,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/20/2018
39.3,2018,4,23,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/23/2018
28.1,2018,4,26,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/26/2018
33.4,2018,5,2,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/2/2018
23.6,2018,5,5,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/5/2018
24.4,2018,5,8,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/8/2018
31.2,2018,5,11,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/11/2018
37.8,2018,5,14,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/14/2018
11.8,2018,5,17,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/17/2018
32.6,2018,5,23,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/23/2018
23.8,2018,5,26,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/26/2018
13.5,2018,5,29,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/29/2018
16,2018,6,1,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/1/2018
13.1,2018,6,4,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/4/2018
7.6,2018,6,7,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/7/2018
8.9,2018,6,10,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/10/2018
16.4,2018,6,13,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/13/2018
13,2018,6,16,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/16/2018
36.3,2018,6,19,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/19/2018
15,2018,6,22,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/22/2018
21.8,2018,6,25,20,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/25/2018
12.1,2018,6,28,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/28/2018
16.7,2018,7,7,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/7/2018
9.1,2018,7,10,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/10/2018
25.9,2018,7,13,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/13/2018
44.6,2018,7,16,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/16/2018
21,2018,7,19,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/19/2018
21.3,2018,7,22,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/22/2018
37,2018,7,25,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/25/2018
37.5,2018,7,28,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/28/2018
4.9,2018,7,31,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/31/2018
12,2018,8,3,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/3/2018
21.6,2018,8,6,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/6/2018
33.2,2018,8,9,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/9/2018
47.4,2018,8,15,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/15/2018
14.9,2018,8,30,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,8/30/2018
41.9,2018,9,5,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,9/5/2018
26.8,2018,10,14,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/14/2018
57.2,2018,10,17,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/17/2018
14.4,2018,10,20,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/20/2018
26.6,2018,10,23,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/23/2018
15.4,2018,10,26,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/26/2018
25,2018,10,29,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,10/29/2018
7.8,2018,11,1,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/1/2018
21.6,2018,11,7,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/7/2018
20.4,2018,11,10,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/10/2018
19.4,2018,11,16,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/16/2018
32.7,2018,11,19,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/19/2018
22.5,2018,11,22,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/22/2018
24,2018,11,25,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/25/2018
35,2018,11,28,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,11/28/2018
20.5,2018,12,4,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/4/2018
23.4,2018,12,7,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/7/2018
26,2018,12,13,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/13/2018
34.3,2018,12,19,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/19/2018
27.3,2018,12,22,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/22/2018
19.7,2018,12,25,22,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/25/2018
23.9,2018,12,28,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,12/28/2018
6,2020,1,1,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/1/2020
23.1,2020,1,7,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/7/2020
17,2020,1,10,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/10/2020
20.1,2020,1,13,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/13/2020
22.1,2020,1,16,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/16/2020
28.4,2020,1,19,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/19/2020
20.7,2020,1,22,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/22/2020
13.1,2020,1,25,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/25/2020
20.7,2020,1,28,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/28/2020
13.2,2020,1,31,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/31/2020
22.9,2020,2,3,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/3/2020
35.3,2020,2,6,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/6/2020
20.8,2020,2,9,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/9/2020
14.5,2020,2,15,23,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/15/2020
16.3,2020,2,18,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/18/2020
25.3,2020,2,21,24,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/21/2020
