DMean PM10,Year,Month,Day,PM-WEIGHT,Target,Site Name,LAt,Lng,Date
13,2018,1,2,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/2/2018
3,2018,1,11,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/11/2018
11,2018,1,14,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/14/2018
4,2018,1,20,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/20/2018
3,2018,1,23,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/23/2018
2,2018,1,26,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,1/26/2018
5,2018,2,1,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/1/2018
7,2018,2,7,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/7/2018
10,2018,2,10,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/10/2018
14,2018,2,13,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/13/2018
3,2018,2,16,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/16/2018
6,2018,2,19,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/19/2018
5,2018,2,22,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/22/2018
5,2018,2,25,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/25/2018
7,2018,2,28,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,2/28/2018
7,2018,3,3,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/3/2018
7,2018,3,6,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/6/2018
8,2018,3,9,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/9/2018
15,2018,3,12,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/12/2018
9,2018,3,15,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/15/2018
5,2018,3,18,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/18/2018
16,2018,3,21,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/21/2018
4,2018,3,24,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/24/2018
3,2018,3,27,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/27/2018
6,2018,3,30,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,3/30/2018
7,2018,4,2,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/2/2018
6,2018,4,5,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/5/2018
5,2018,4,11,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/11/2018
3,2018,4,14,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/14/2018
8,2018,4,17,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/17/2018
9,2018,4,20,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/20/2018
10,2018,4,23,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/23/2018
21,2018,4,26,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,4/26/2018
14,2018,5,2,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/2/2018
10,2018,5,5,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/5/2018
11,2018,5,8,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/8/2018
10,2018,5,11,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/11/2018
21,2018,5,14,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/14/2018
7,2018,5,17,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/17/2018
14,2018,5,23,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/23/2018
10,2018,5,26,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/26/2018
15,2018,5,29,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,5/29/2018
5,2018,6,1,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/1/2018
6,2018,6,4,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/4/2018
9,2018,6,7,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/7/2018
3,2018,6,10,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/10/2018
4,2018,6,13,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/13/2018
10,2018,6,16,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/16/2018
17,2018,6,19,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/19/2018
7,2018,6,22,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/22/2018
6,2018,6,25,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/25/2018
12,2018,6,28,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,6/28/2018
5,2018,7,7,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/7/2018
6,2018,7,10,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/10/2018
15,2018,7,13,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/13/2018
18,2018,7,16,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/16/2018
10,2018,7,19,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/19/2018
11,2018,7,22,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/22/2018
20,2018,7,25,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/25/2018
12,2018,7,28,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/28/2018
10,2018,7,31,1,0,SEATTLE - BEACON HILL,47.568236,-122.308628,7/31/2018
