ozone,year,month,day,weight,flag,station-name
0.026,2014,1,1,9,0,SPNG
0.026,2014,1,1,9,0,SPNG
0.026,2014,1,1,9,0,SPNG
0.026,2014,1,1,9,0,SPNG
0.017,2014,1,2,23,0,SPNG
0.017,2014,1,2,23,0,SPNG
0.017,2014,1,2,23,0,SPNG
0.017,2014,1,2,23,0,SPNG
0.035,2014,1,3,9,0,SPNG
0.035,2014,1,3,9,0,SPNG
0.035,2014,1,3,9,0,SPNG
0.035,2014,1,3,9,0,SPNG
0.03,2014,1,4,10,0,SPNG
0.03,2014,1,4,10,0,SPNG
0.03,2014,1,4,10,0,SPNG
0.03,2014,1,4,10,0,SPNG
0.023,2014,1,5,23,0,SPNG
0.023,2014,1,5,23,0,SPNG
0.023,2014,1,5,23,0,SPNG
0.023,2014,1,5,23,0,SPNG
0.034,2014,1,6,20,0,SPNG
0.034,2014,1,6,20,0,SPNG
0.034,2014,1,6,20,0,SPNG
0.034,2014,1,6,20,0,SPNG
0.032,2014,1,7,0,0,SPNG
0.032,2014,1,7,0,0,SPNG
0.032,2014,1,7,0,0,SPNG
0.032,2014,1,7,0,0,SPNG
0.02,2014,1,8,10,0,SPNG
0.02,2014,1,8,10,0,SPNG
0.02,2014,1,8,10,0,SPNG
0.02,2014,1,8,10,0,SPNG
0.029,2014,1,9,10,0,SPNG
0.029,2014,1,9,10,0,SPNG
0.029,2014,1,9,10,0,SPNG
0.029,2014,1,9,10,0,SPNG
0.019,2014,1,10,0,0,SPNG
0.019,2014,1,10,0,0,SPNG
0.019,2014,1,10,0,0,SPNG
0.019,2014,1,10,0,0,SPNG
0.029,2014,1,11,23,0,SPNG
0.029,2014,1,11,23,0,SPNG
0.029,2014,1,11,23,0,SPNG
0.029,2014,1,11,23,0,SPNG
0.033,2014,1,12,8,0,SPNG
0.033,2014,1,12,8,0,SPNG
0.033,2014,1,12,8,0,SPNG
0.033,2014,1,12,8,0,SPNG
0.029,2014,1,13,10,0,SPNG
0.029,2014,1,13,10,0,SPNG
0.029,2014,1,13,10,0,SPNG
0.029,2014,1,13,10,0,SPNG
0.017,2014,1,14,10,0,SPNG
0.017,2014,1,14,10,0,SPNG
0.017,2014,1,14,10,0,SPNG
0.017,2014,1,14,10,0,SPNG
0.025,2014,1,15,21,0,SPNG
0.025,2014,1,15,21,0,SPNG
0.025,2014,1,15,21,0,SPNG
0.025,2014,1,15,21,0,SPNG
0.025,2014,1,16,0,0,SPNG
0.025,2014,1,16,0,0,SPNG
0.025,2014,1,16,0,0,SPNG
0.025,2014,1,16,0,0,SPNG
0.03,2014,1,17,11,0,SPNG
0.03,2014,1,17,11,0,SPNG
0.03,2014,1,17,11,0,SPNG
0.03,2014,1,17,11,0,SPNG
0.029,2014,1,18,8,0,SPNG
0.029,2014,1,18,8,0,SPNG
0.029,2014,1,18,8,0,SPNG
0.029,2014,1,18,8,0,SPNG
0.034,2014,1,19,10,0,SPNG
0.034,2014,1,19,10,0,SPNG
0.034,2014,1,19,10,0,SPNG
0.034,2014,1,19,10,0,SPNG
0.03,2014,1,20,9,0,SPNG
0.03,2014,1,20,9,0,SPNG
0.03,2014,1,20,9,0,SPNG
0.03,2014,1,20,9,0,SPNG
0.026,2014,1,21,22,0,SPNG
0.026,2014,1,21,22,0,SPNG
