"year","month","day","weight","flag","station","co2"
1958,03,29,4,0,MLO,316.10
1958,04,05,6,0,MLO,317.30
1958,04,12,4,0,MLO,317.60
1958,04,19,6,0,MLO,317.50
1958,04,26,2,0,MLO,316.40
1958,05,03,6,0,MLO,316.90
1958,05,17,1,0,MLO,317.50
1958,05,24,5,0,MLO,317.90
1958,07,05,2,0,MLO,315.80
1958,07,12,4,0,MLO,315.80
1958,07,19,4,0,MLO,315.40
1958,07,26,7,0,MLO,315.50
1958,08,02,3,0,MLO,315.60
1958,08,09,4,0,MLO,315.10
1958,08,16,3,0,MLO,315.00
1958,08,30,5,0,MLO,314.10
1958,09,06,1,0,MLO,313.50
1958,11,08,4,0,MLO,313.00
1958,11,15,7,0,MLO,313.20
1958,11,22,5,0,MLO,313.50
1958,11,29,7,0,MLO,314.00
1958,12,06,6,0,MLO,314.50
1958,12,13,7,0,MLO,314.40
1958,12,20,4,0,MLO,314.70
1958,12,27,2,0,MLO,315.20
1959,01,03,3,0,MLO,315.20
1959,01,10,7,0,MLO,315.50
1959,01,17,7,0,MLO,315.60
1959,01,24,5,0,MLO,315.80
1959,01,31,2,0,MLO,315.40
1959,02,14,1,0,MLO,316.90
1959,02,21,7,0,MLO,316.60
1959,02,28,3,0,MLO,316.60
1959,03,07,7,0,MLO,316.80
1959,03,21,4,0,MLO,316.70
1959,03,28,6,0,MLO,316.70
1959,04,04,7,0,MLO,317.70
1959,04,11,7,0,MLO,317.10
1959,04,18,6,0,MLO,317.60
1959,04,25,5,0,MLO,318.30
1959,05,02,3,0,MLO,318.20
1959,05,09,1,0,MLO,318.70
1959,05,16,7,0,MLO,318.00
1959,05,23,5,0,MLO,318.40
1959,06,06,7,0,MLO,318.50
1959,06,13,5,0,MLO,318.10
1959,06,20,5,0,MLO,317.80
1959,06,27,2,0,MLO,317.70
1959,07,04,7,0,MLO,316.80
1959,07,11,7,0,MLO,316.80
1959,07,18,5,0,MLO,316.40
1959,07,25,4,0,MLO,316.10
1959,08,01,7,0,MLO,315.60
1959,08,08,3,0,MLO,314.90
1959,08,22,1,0,MLO,315.00
1959,08,29,4,0,MLO,314.10
1959,09,05,5,0,MLO,314.40
1959,09,12,3,0,MLO,313.90
1959,09,19,5,0,MLO,313.50
1959,09,26,4,0,MLO,313.50
1959,10,03,6,0,MLO,313.00
1959,10,10,3,0,MLO,313.10
1959,10,17,7,0,MLO,313.40
1959,10,24,7,0,MLO,313.40
1959,10,31,7,0,MLO,314.10
1959,11,07,2,0,MLO,314.40
1959,11,14,5,0,MLO,314.80
1959,11,21,6,0,MLO,315.20
1959,11,28,5,0,MLO,315.10
1959,12,05,4,0,MLO,315.00
1959,12,12,5,0,MLO,315.60
1959,12,19,6,0,MLO,315.80
1959,12,26,6,0,MLO,315.70
1960,01,02,4,0,MLO,315.70
1960,01,09,5,0,MLO,316.40
1960,01,16,6,0,MLO,316.70
1960,01,23,5,0,MLO,316.50
1960,01,30,6,0,MLO,316.60
1960,02,06,2,0,MLO,316.60
1960,02,13,6,0,MLO,316.90
1960,02,20,4,0,MLO,317.40
1960,02,27,5,0,MLO,317.00
1960,03,05,7,0,MLO,316.90
1960,03,12,7,0,MLO,317.70
1960,03,19,4,0,MLO,318.00
1960,03,26,6,0,MLO,317.70
1960,04,02,5,0,MLO,318.60
1960,04,09,3,0,MLO,319.30
1960,04,16,7,0,MLO,319.00
1960,04,23,7,0,MLO,319.00
1960,04,30,1,0,MLO,319.70
1960,05,07,6,0,MLO,319.90
1960,05,14,5,0,MLO,319.80
1960,05,21,6,0,MLO,320.00
1960,05,28,7,0,MLO,320.00
1960,06,04,3,0,MLO,319.40
1960,06,11,5,0,MLO,320.00
1960,06,18,3,0,MLO,319.40
1960,06,25,2,0,MLO,319.00
1960,07,02,5,0,MLO,318.10
1960,07,09,4,0,MLO,318.60
1960,07,16,5,0,MLO,318.40
1960,07,23,6,0,MLO,317.90
1960,07,30,5,0,MLO,317.30
1960,08,06,3,0,MLO,316.60
1960,08,13,6,0,MLO,316.70
1960,08,20,5,0,MLO,315.10
1960,08,27,5,0,MLO,314.70
1960,09,03,7,0,MLO,314.70
1960,09,10,7,0,MLO,314.50
1960,09,17,6,0,MLO,314.20
1960,09,24,5,0,MLO,313.30
1960,10,01,2,0,MLO,313.60
1960,10,08,4,0,MLO,313.30
1960,10,15,5,0,MLO,313.90
1960,10,22,6,0,MLO,314.20
1960,10,29,3,0,MLO,314.20
1960,11,05,7,0,MLO,314.50
1960,11,12,6,0,MLO,315.10
1960,11,19,7,0,MLO,315.10
1960,11,26,7,0,MLO,315.40
1960,12,03,5,0,MLO,315.80
1960,12,10,7,0,MLO,316.00
1960,12,17,7,0,MLO,316.20
1960,12,24,5,0,MLO,316.40
1960,12,31,7,0,MLO,316.60
1961,01,07,6,0,MLO,316.70
1961,01,14,7,0,MLO,317.00
1961,01,21,7,0,MLO,317.00
1961,01,28,7,0,MLO,317.00
1961,02,04,6,0,MLO,317.00
1961,02,11,6,0,MLO,317.70
1961,02,18,7,0,MLO,317.90
1961,02,25,7,0,MLO,318.00
1961,03,04,5,0,MLO,318.00
1961,03,11,4,0,MLO,318.50
1961,03,18,6,0,MLO,318.90
1961,03,25,7,0,MLO,318.70
1961,04,01,7,0,MLO,319.40
1961,04,08,6,0,MLO,319.50
1961,04,15,7,0,MLO,318.90
1961,04,22,6,0,MLO,319.70
1961,04,29,6,0,MLO,319.60
1961,05,06,7,0,MLO,320.60
1961,05,13,3,0,MLO,320.40
1961,05,20,6,0,MLO,320.60
1961,05,27,7,0,MLO,320.30
1961,06,03,6,0,MLO,320.00
1961,06,10,5,0,MLO,320.00
1961,06,17,7,0,MLO,319.60
1961,06,24,6,0,MLO,319.40
1961,07,01,5,0,MLO,319.20
1961,07,08,6,0,MLO,319.00
1961,07,15,5,0,MLO,318.40
1961,07,22,1,0,MLO,317.10
1961,07,29,3,0,MLO,317.90
1961,08,05,7,0,MLO,317.90
1961,08,12,2,0,MLO,317.30
1961,08,19,5,0,MLO,316.70
1961,08,26,6,0,MLO,315.20
1961,09,02,5,0,MLO,315.20
1961,09,09,5,0,MLO,314.90
1961,09,16,5,0,MLO,314.50
1961,09,23,4,0,MLO,315.00
1961,09,30,4,0,MLO,315.60
1961,10,07,5,0,MLO,314.90
1961,10,14,7,0,MLO,315.40
1961,10,21,7,0,MLO,315.40
1961,10,28,6,0,MLO,315.70
1961,11,04,6,0,MLO,315.80
1961,11,11,5,0,MLO,315.70
1961,11,18,7,0,MLO,316.20
1961,11,25,6,0,MLO,316.50
1961,12,02,5,0,MLO,316.50
1961,12,09,5,0,MLO,317.00
1961,12,16,6,0,MLO,316.90
1961,12,23,3,0,MLO,317.10
1961,12,30,7,0,MLO,317.40
1962,01,06,5,0,MLO,317.90
1962,01,13,7,0,MLO,318.10
1962,01,20,5,0,MLO,318.00
1962,01,27,7,0,MLO,317.70
1962,02,03,7,0,MLO,318.00
1962,02,10,4,0,MLO,318.30
1962,02,17,4,0,MLO,318.90
1962,02,24,1,0,MLO,319.30
1962,03,03,6,0,MLO,319.20
1962,03,10,6,0,MLO,319.40
1962,03,17,7,0,MLO,319.90
1962,03,24,4,0,MLO,319.70
1962,03,31,5,0,MLO,320.20
1962,04,07,3,0,MLO,320.20
