Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,60370002,1,0.9,ppm,10,Azusa,19,79,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/2/2018,AQS,60370002,1,1,ppm,11,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/3/2018,AQS,60370002,1,0.9,ppm,10,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/4/2018,AQS,60370002,1,1,ppm,11,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/5/2018,AQS,60370002,1,0.7,ppm,8,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/6/2018,AQS,60370002,1,0.8,ppm,9,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/7/2018,AQS,60370002,1,0.7,ppm,8,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/8/2018,AQS,60370002,1,0.7,ppm,8,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/9/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/10/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/11/2018,AQS,60370002,1,0.6,ppm,7,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/12/2018,AQS,60370002,1,0.6,ppm,7,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/13/2018,AQS,60370002,1,0.5,ppm,6,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/14/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/15/2018,AQS,60370002,1,0.9,ppm,10,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/16/2018,AQS,60370002,1,0.9,ppm,10,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/17/2018,AQS,60370002,1,0.9,ppm,10,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/18/2018,AQS,60370002,1,0.7,ppm,8,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/19/2018,AQS,60370002,1,0.6,ppm,7,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/20/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/21/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/22/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/23/2018,AQS,60370002,1,0.4,ppm,5,Azusa,13,54,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/24/2018,AQS,60370002,1,0.5,ppm,6,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/25/2018,AQS,60370002,1,0.5,ppm,6,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/26/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/27/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/28/2018,AQS,60370002,1,0.5,ppm,6,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/29/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/30/2018,AQS,60370002,1,0.5,ppm,6,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/31/2018,AQS,60370002,1,0.6,ppm,7,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/1/2018,AQS,60370002,1,0.7,ppm,8,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/2/2018,AQS,60370002,1,0.8,ppm,9,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/3/2018,AQS,60370002,1,0.8,ppm,9,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/4/2018,AQS,60370002,1,0.8,ppm,9,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/5/2018,AQS,60370002,1,0.7,ppm,8,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/6/2018,AQS,60370002,1,0.7,ppm,8,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/7/2018,AQS,60370002,1,0.6,ppm,7,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/8/2018,AQS,60370002,1,0.6,ppm,7,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/9/2018,AQS,60370002,1,0.8,ppm,9,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/10/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/11/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/12/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/13/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/14/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/15/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/16/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/17/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/18/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/19/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/20/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/21/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/22/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/23/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/24/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/25/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/26/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/27/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/28/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/1/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/2/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/3/2018,AQS,60370002,1,0.4,ppm,5,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/4/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/5/2018,AQS,60370002,1,0.3,ppm,3,Azusa,24,100,42101,Carbon monoxide,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
