Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,371830014,2,0.5,ppm,6,Millbrook School,18,75,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/2/2020,AQS,371830014,2,0.8,ppm,9,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/3/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/4/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/5/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/6/2020,AQS,371830014,2,0.7,ppm,8,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/7/2020,AQS,371830014,2,0.8,ppm,9,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/8/2020,AQS,371830014,2,0.6,ppm,7,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/9/2020,AQS,371830014,2,0.7,ppm,8,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/10/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/11/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/12/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/13/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,15,63,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/14/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/15/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/16/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/17/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/18/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/19/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/20/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/21/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/22/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/23/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/24/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,15,63,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/25/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/26/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/27/2020,AQS,371830014,2,0.7,ppm,8,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/28/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/29/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/30/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
1/31/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/1/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/2/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/3/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/4/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/5/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/6/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/7/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/8/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/9/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/10/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/11/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/12/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/13/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/14/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/15/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/16/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/17/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/18/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/19/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,18,75,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/20/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/21/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/22/2020,AQS,371830014,2,0.5,ppm,6,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/23/2020,AQS,371830014,2,1,ppm,11,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/24/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/25/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/26/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/27/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/28/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
2/29/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/1/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/2/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/3/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/4/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,14,58,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/5/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,6,25,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/6/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/7/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/8/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/9/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/10/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/11/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/12/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/13/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/14/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/15/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/16/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/17/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/18/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/19/2020,AQS,371830014,2,0.4,ppm,5,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/20/2020,AQS,371830014,2,0.3,ppm,3,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
3/21/2020,AQS,371830014,2,0.2,ppm,2,Millbrook School,24,100,42101,Carbon monoxide,39580,"Raleigh, NC",37,North Carolina,183,Wake,35.856111,-78.574167
