,Site Name,Date,DMean PM10,PM10 Units,PM10 AQI,Lat,Lng,DMax NO2,NO2 Units,NO2 AQI,DMax Ozone,Ozone Units,Ozone AQI,DMax SO2,SO2 Units,SO2 AQI,DMax CO,CO Units,CO AQI
0,Millbrook School,1/1/2018,7.0,ug/m3 SC,6.0,35.856111,-78.574167,7.2,ppb,7.0,0.037000000000000005,ppm,34.0,2.0,ppb,3.0,0.2,ppm,2.0
1,Millbrook School,1/2/2018,12.0,ug/m3 SC,11.0,35.856111,-78.574167,33.6,ppb,31.0,0.034,ppm,31.0,1.8,ppb,1.0,0.7,ppm,8.0
2,Millbrook School,1/3/2018,20.0,ug/m3 SC,19.0,35.856111,-78.574167,30.3,ppb,28.0,0.032,ppm,30.0,2.5,ppb,3.0,0.9,ppm,10.0
3,Millbrook School,1/4/2018,13.0,ug/m3 SC,12.0,35.856111,-78.574167,5.4,ppb,5.0,0.035,ppm,32.0,1.9,ppb,1.0,0.2,ppm,2.0
4,Millbrook School,1/5/2018,12.0,ug/m3 SC,11.0,35.856111,-78.574167,18.2,ppb,17.0,0.036000000000000004,ppm,33.0,1.3,ppb,1.0,0.2,ppm,2.0
5,Millbrook School,1/6/2018,8.0,ug/m3 SC,7.0,35.856111,-78.574167,10.1,ppb,9.0,0.036000000000000004,ppm,33.0,2.2,ppb,3.0,0.2,ppm,2.0
6,Millbrook School,1/7/2018,11.0,ug/m3 SC,10.0,35.856111,-78.574167,19.4,ppb,18.0,0.037000000000000005,ppm,34.0,2.4,ppb,3.0,0.3,ppm,3.0
7,Millbrook School,1/8/2018,22.0,ug/m3 SC,20.0,35.856111,-78.574167,34.8,ppb,32.0,0.028999999999999998,ppm,27.0,1.1,ppb,1.0,0.5,ppm,6.0
8,Millbrook School,1/9/2018,21.0,ug/m3 SC,19.0,35.856111,-78.574167,32.8,ppb,30.0,0.032,ppm,30.0,1.6,ppb,1.0,0.5,ppm,6.0
9,Millbrook School,1/10/2018,11.0,ug/m3 SC,10.0,35.856111,-78.574167,7.8,ppb,7.0,0.036000000000000004,ppm,33.0,0.6,ppb,0.0,0.5,ppm,6.0
10,Millbrook School,1/11/2018,13.0,ug/m3 SC,12.0,35.856111,-78.574167,11.5,ppb,10.0,0.027999999999999997,ppm,26.0,1.0,ppb,1.0,0.3,ppm,3.0
11,Millbrook School,1/12/2018,2.0,ug/m3 SC,2.0,35.856111,-78.574167,6.2,ppb,6.0,0.038,ppm,35.0,0.1,ppb,0.0,0.2,ppm,2.0
12,Millbrook School,1/13/2018,4.0,ug/m3 SC,4.0,35.856111,-78.574167,3.4,ppb,3.0,0.035,ppm,32.0,1.0,ppb,1.0,0.2,ppm,2.0
13,Millbrook School,1/14/2018,4.0,ug/m3 SC,4.0,35.856111,-78.574167,4.6,ppb,4.0,,,,,,,0.1,ppm,1.0
14,Millbrook School,1/15/2018,9.0,ug/m3 SC,8.0,35.856111,-78.574167,29.1,ppb,27.0,,,,,,,,,
