Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/28/2020,AQS,450418001,1,0.046,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
2/3/2020,AQS,450418001,1,0.005,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
2/9/2020,AQS,450418001,1,0.336,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
2/15/2020,AQS,450418001,1,0.16,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
2/21/2020,AQS,450418001,1,0.362,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
2/27/2020,AQS,450418001,1,0.006,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
3/4/2020,AQS,450418001,1,0.014,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
3/10/2020,AQS,450418001,1,0.001,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
4/3/2020,AQS,450418001,1,0.006,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
4/9/2020,AQS,450418001,1,0.007,ug/m3 LC,.,JCI Railroad,1,100,14129,Lead (TSP) LC,22500,"Florence, SC",45,South Carolina,41,Florence,34.15567,-79.56983
