Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2018,AQS,481410029,1,14,ug/m3 SC,13,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/8/2018,AQS,481410029,1,25,ug/m3 SC,23,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/14/2018,AQS,481410029,1,15,ug/m3 SC,14,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/20/2018,AQS,481410029,1,34,ug/m3 SC,31,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/26/2018,AQS,481410029,1,21,ug/m3 SC,19,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/1/2018,AQS,481410029,1,24,ug/m3 SC,22,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/7/2018,AQS,481410029,1,24,ug/m3 SC,22,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/13/2018,AQS,481410029,1,23,ug/m3 SC,21,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/19/2018,AQS,481410029,1,18,ug/m3 SC,17,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
2/25/2018,AQS,481410029,1,10,ug/m3 SC,9,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
3/3/2018,AQS,481410029,1,23,ug/m3 SC,21,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
3/9/2018,AQS,481410029,1,13,ug/m3 SC,12,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
3/15/2018,AQS,481410029,1,56,ug/m3 SC,51,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
3/21/2018,AQS,481410029,1,24,ug/m3 SC,22,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
3/27/2018,AQS,481410029,1,8,ug/m3 SC,7,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
4/2/2018,AQS,481410029,1,15,ug/m3 SC,14,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
4/8/2018,AQS,481410029,1,22,ug/m3 SC,20,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
4/14/2018,AQS,481410029,1,13,ug/m3 SC,12,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
4/20/2018,AQS,481410029,1,31,ug/m3 SC,29,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
4/26/2018,AQS,481410029,1,30,ug/m3 SC,28,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
5/2/2018,AQS,481410029,1,85,ug/m3 SC,66,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
5/8/2018,AQS,481410029,1,17,ug/m3 SC,16,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
5/14/2018,AQS,481410029,1,15,ug/m3 SC,14,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
5/20/2018,AQS,481410029,1,35,ug/m3 SC,32,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
5/26/2018,AQS,481410029,1,25,ug/m3 SC,23,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
6/1/2018,AQS,481410029,1,15,ug/m3 SC,14,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
6/7/2018,AQS,481410029,1,22,ug/m3 SC,20,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
6/13/2018,AQS,481410029,1,29,ug/m3 SC,27,Ivanhoe,1,100,81102,PM10 Total 0-10um STP,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
