Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,530330080,2,2.2,ppb,3,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/2/2016,AQS,530330080,2,2.9,ppb,3,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/3/2016,AQS,530330080,2,1.2,ppb,1,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/4/2016,AQS,530330080,2,0.1,ppb,0,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/23/2016,AQS,530330080,2,0.6,ppb,0,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/24/2016,AQS,530330080,2,0.4,ppb,0,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/25/2016,AQS,530330080,2,2,ppb,3,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/26/2016,AQS,530330080,2,0.9,ppb,0,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/27/2016,AQS,530330080,2,0.9,ppb,0,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/28/2016,AQS,530330080,2,0.5,ppb,0,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/29/2016,AQS,530330080,2,1.1,ppb,1,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/30/2016,AQS,530330080,2,0.3,ppb,0,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/31/2016,AQS,530330080,2,0.5,ppb,0,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/1/2016,AQS,530330080,2,0.4,ppb,0,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/2/2016,AQS,530330080,2,1.1,ppb,1,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/3/2016,AQS,530330080,2,0.1,ppb,0,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/4/2016,AQS,530330080,2,0.4,ppb,0,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/5/2016,AQS,530330080,2,1.6,ppb,1,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/6/2016,AQS,530330080,2,0.4,ppb,0,SEATTLE - BEACON HILL,23,96,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/7/2016,AQS,530330080,2,0.9,ppb,0,SEATTLE - BEACON HILL,24,100,42401,Sulfur dioxide,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
