,City ID,City,Country,Lat,Lon,Cloudiness,Humidity,Max Temp,Wind Speed,Date
0,2155415,New Norfolk,AU,-42.7826,147.0587,99,78,50.38,1.55,2021-04-24 09:03:51
1,3366880,Hermanus,ZA,-34.4187,19.2345,100,58,74.37,0.89,2021-04-24 09:04:10
2,2068110,Kununurra,AU,-15.7667,128.7333,7,52,67.37,2.06,2021-04-24 09:04:10
3,5850554,Makakilo City,US,21.3469,-158.0858,20,73,72.77,2.57,2021-04-24 09:02:11
4,5847411,Kahului,US,20.8947,-156.47,20,88,70.97,5.14,2021-04-24 08:59:25
5,5106841,Albany,US,42.6001,-73.9662,78,34,54.37,4.92,2021-04-24 09:02:00
6,2110227,Butaritari,KI,3.0707,172.7902,100,75,81.41,3.81,2021-04-24 09:04:10
7,4021858,Guerrero Negro,MX,27.9769,-114.0611,30,89,55.71,5.03,2021-04-24 09:04:11
8,1684803,Tabuk,PH,17.4189,121.4443,41,85,73.11,3.39,2021-04-24 09:04:11
9,2125906,Dukat,RU,62.55,155.55,55,99,-8.7,2.14,2021-04-24 09:04:11
10,3466165,Cidreira,BR,-30.1811,-50.2056,76,71,71.8,5.41,2021-04-24 09:04:11
11,2206939,Bluff,NZ,-46.6,168.3333,40,92,41.38,1.79,2021-04-24 09:04:12
12,1525376,Bestöbe,KZ,52.4994,73.0975,100,31,49.3,5.12,2021-04-24 09:04:12
13,6201424,Mataura,NZ,-46.1927,168.8643,19,92,41.38,1.79,2021-04-24 09:04:12
14,3874787,Punta Arenas,CL,-53.15,-70.9167,0,87,45.77,4.63,2021-04-24 09:04:12
15,3380290,Sinnamary,GF,5.3833,-52.95,100,88,77.7,5.43,2021-04-24 09:04:13
16,3526966,Huehuetán,MX,15.0167,-92.3667,90,100,72.77,4.12,2021-04-24 09:04:13
17,2180815,Tuatapere,NZ,-46.1333,167.6833,76,92,41.38,1.79,2021-04-24 09:04:13
18,1793385,Tangjiazhuang,CN,39.7333,118.45,16,55,58.33,3.71,2021-04-24 09:04:13
19,5855927,Hilo,US,19.7297,-155.09,75,88,69.17,3.09,2021-04-24 09:01:49
20,2094342,Kavieng,PG,-2.5744,150.7967,10,76,80.64,3.26,2021-04-24 09:04:14
21,1488903,Turukhansk,RU,65.8167,87.9833,88,96,34.16,4.89,2021-04-24 09:04:14
22,6355222,Yulara,AU,-25.2406,130.9889,18,42,61.97,2.57,2021-04-24 09:04:14
