,Lat,Lng,Hotel Name,City,Country
2,-15.7740031,128.7373298,Kununurra Country Club Resort,"6PGP+9W Kununurra, Western Australia, Australia",
3,21.3395,-158.1254861,Four Seasons Resort Oahu at Ko Olina,"8VQF+RR Kapolei, Hawaii",
23,-33.9086313,18.4162905,One&Only Cape Town,"3CR8+GG Cape Town, South Africa",
28,-33.9634414,25.6129134,Beza Lodge & Guest House,"2JP7+J5 Gqeberha, South Africa",
37,-24.8974427,113.6418982,Carnarvon Beach Holiday Resort,"4J3R+2Q Babbage Island, Western Australia, Australia",
52,-0.744564,-90.311574,Hotel Solymar Galapagos,"7M4Q+59 Puerto Ayora, Ecuador",
78,11.302536,-15.813696,BOB FISHING CLUB BIJAGOS,"853P+2G Bubaque, Guinea-Bissau",
82,-8.7574087,-63.8835525,Hotel Alem Das Estrelas,"64V8+2H Embratel, Porto Velho - State of Rondônia, Brazil",
97,-32.9698008,27.9673438,P S a Holiday Resort,"2XJ8+3W East London, South Africa",
100,5.8040373,102.1494591,DMawar Resort,"R43X+JQ Tanah Merah, Kelantan, Malaysia",
106,14.9097021,-23.5113795,MLD Cabo Verde Resorts,"WF5Q+VC Praia, Cape Verde",
145,-33.6021,26.897,Port Alfred Sands,"9VXW+5Q Port Alfred, South Africa",
153,20.9400423,-17.0346273,HOTEL TIRIS,"WXR8+24 Nouadhibou, Mauritania",
154,31.6027431,34.7643394,Desert Gat,"JQ37+3P Kiryat Gat, Israel",
168,22.28662,114.156656,PS group_Four Seasons Hotels and Resorts,"75P4+JM Central, Hong Kong",
231,-21.6453481,-41.0217284,Resort Lakes,"9X3H+V8 Atafona, São João da Barra - State of Rio de Janeiro, Brazil",
238,-4.2511104,-81.2317216,"Hotel ""El Merlin"" Cabo Blanco","PQX9+H8 El Alto, Peru",
241,-11.0952277,-77.6107303,Hotel Vista del Sol Resort,"W93Q+WP Hualmay District, Peru",
254,-22.9694215,-42.0313103,Resort Villa da Praia,"2XJ9+6F Centro, Arraial do Cabo - State of Rio de Janeiro, Brazil",
287,39.855192,4.2763773,Mapalu Menorca,"V74G+3H Trebelúger, Spain",
291,16.8561411,-99.8635135,Holiday Inn Resort Acapulco,"V44P+FH Acapulco, Guerrero, Mexico",
351,13.3190722,123.3149413,Enon Beach Resort,"8897+JX Bato, Camarines Sur, Philippines",
400,-12.3978276,16.9401175,iu Hotel Kuíto,"JW2R+V2 Kuito, Angola",
411,-13.6754195,-76.2023557,Huaca Los Cachos,"8QFX+R3 Pisco, Peru",
418,12.4608767,75.6959778,Heritage Resort Coorg,"FM6W+99 Galibeedu, Karnataka, India",
441,31.2340656,29.94576,SUNRISE Alex Avenue Hotel,"6WMW+J8 First Al Raml, Egypt",
478,-4.579439799999999,-81.2598849,Complejo Recreacional Certse,"CPCR+62 Talara, Peru",
551,-20.340211,-40.28325299999999,J. P. a Empreendimento Hoteleiro e Turístico,"MP58+WM Vila Velha, State of Espírito Santo, Brazil",
553,20.6581637,-105.2491027,Club Regina Puerto Vallarta,"MQ52+79 Puerto Vallarta, Jalisco, Mexico",
557,-20.3107232,118.5755553,Bruno's Ocean Lodge,"MHQG+P6 Port Hedland, Western Australia, Australia",
562,-22.947708,14.536201,Moonlight Resort,"3G2P+WF Swakopmund, Namibia",
