Date,Source,Site ID,POC,Daily Max 8-hour CO Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,340030010,1,0.2,ppm,2,Fort Lee Near Road,19,79,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/2/2016,AQS,340030010,1,0.2,ppm,2,Fort Lee Near Road,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/3/2016,AQS,340030010,1,0.2,ppm,2,Fort Lee Near Road,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/4/2016,AQS,340030010,1,0.2,ppm,2,Fort Lee Near Road,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/5/2016,AQS,340030010,1,0.4,ppm,5,Fort Lee Near Road,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/6/2016,AQS,340030010,1,0.7,ppm,8,Fort Lee Near Road,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/7/2016,AQS,340030010,1,0.7,ppm,8,Fort Lee Near Road,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/8/2016,AQS,340030010,1,0.6,ppm,7,Fort Lee Near Road,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/9/2016,AQS,340030010,1,0.2,ppm,2,Fort Lee Near Road,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
1/10/2016,AQS,340030010,1,0.2,ppm,2,Fort Lee Near Road,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,3,Bergen,40.85355,-73.96618
