Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,250092006,2,6,ppb,6,LYNN WATER TREATMENT PLANT,22,92,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/2/2020,AQS,250092006,2,31.2,ppb,29,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/3/2020,AQS,250092006,2,29.3,ppb,27,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/4/2020,AQS,250092006,2,23.9,ppb,22,LYNN WATER TREATMENT PLANT,22,92,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/5/2020,AQS,250092006,2,3.2,ppb,3,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/6/2020,AQS,250092006,2,21.2,ppb,20,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/7/2020,AQS,250092006,2,26.9,ppb,25,LYNN WATER TREATMENT PLANT,22,92,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/8/2020,AQS,250092006,2,18.1,ppb,17,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/9/2020,AQS,250092006,2,31.2,ppb,29,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/10/2020,AQS,250092006,2,27.5,ppb,25,LYNN WATER TREATMENT PLANT,22,92,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/11/2020,AQS,250092006,2,11.9,ppb,10,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/12/2020,AQS,250092006,2,2.4,ppb,2,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/13/2020,AQS,250092006,2,13.6,ppb,12,LYNN WATER TREATMENT PLANT,22,92,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/14/2020,AQS,250092006,2,20.1,ppb,19,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/15/2020,AQS,250092006,2,28.6,ppb,26,LYNN WATER TREATMENT PLANT,24,100,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
1/16/2020,AQS,250092006,2,21.9,ppb,20,LYNN WATER TREATMENT PLANT,22,92,42602,Nitrogen dioxide (NO2),14460,"Boston-Cambridge-Newton, MA-NH",25,Massachusetts,9,Essex,42.47464214,-70.97081559
