Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,60370002,1,0.043,ppm,40,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/2/2016,AQS,60370002,1,0.031,ppm,29,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/3/2016,AQS,60370002,1,0.043,ppm,40,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/4/2016,AQS,60370002,1,0.035,ppm,32,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/5/2016,AQS,60370002,1,0.023,ppm,21,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/6/2016,AQS,60370002,1,0.033,ppm,31,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/7/2016,AQS,60370002,1,0.035,ppm,32,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/8/2016,AQS,60370002,1,0.027,ppm,25,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/9/2016,AQS,60370002,1,0.032,ppm,30,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/10/2016,AQS,60370002,1,0.03,ppm,28,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/11/2016,AQS,60370002,1,0.031,ppm,29,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/12/2016,AQS,60370002,1,0.029,ppm,27,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/13/2016,AQS,60370002,1,0.013,ppm,12,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/14/2016,AQS,60370002,1,0.022,ppm,20,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/15/2016,AQS,60370002,1,0.024,ppm,22,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/16/2016,AQS,60370002,1,0.029,ppm,27,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/17/2016,AQS,60370002,1,0.035,ppm,32,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/18/2016,AQS,60370002,1,0.016,ppm,15,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/19/2016,AQS,60370002,1,0.015,ppm,14,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/20/2016,AQS,60370002,1,0.024,ppm,22,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/21/2016,AQS,60370002,1,0.026,ppm,24,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/22/2016,AQS,60370002,1,0.02,ppm,19,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/23/2016,AQS,60370002,1,0.021,ppm,19,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/24/2016,AQS,60370002,1,0.04,ppm,37,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/25/2016,AQS,60370002,1,0.036,ppm,33,Azusa,17,100,44201,Ozone,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
