Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2020,AQS,481410029,1,0.037,ppm,34,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/2/2020,AQS,481410029,1,0.034,ppm,31,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/3/2020,AQS,481410029,1,0.034,ppm,31,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/4/2020,AQS,481410029,1,0.028,ppm,26,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/5/2020,AQS,481410029,1,0.034,ppm,31,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/6/2020,AQS,481410029,1,0.039,ppm,36,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/7/2020,AQS,481410029,1,0.035,ppm,32,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/8/2020,AQS,481410029,1,0.03,ppm,28,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/9/2020,AQS,481410029,1,0.038,ppm,35,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/10/2020,AQS,481410029,1,0.039,ppm,36,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/11/2020,AQS,481410029,1,0.033,ppm,31,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/12/2020,AQS,481410029,1,0.037,ppm,34,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/13/2020,AQS,481410029,1,0.031,ppm,29,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/14/2020,AQS,481410029,1,0.026,ppm,24,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/15/2020,AQS,481410029,1,0.015,ppm,14,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/16/2020,AQS,481410029,1,0.022,ppm,20,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/17/2020,AQS,481410029,1,0.031,ppm,29,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/18/2020,AQS,481410029,1,0.039,ppm,36,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
1/19/2020,AQS,481410029,1,0.041,ppm,38,Ivanhoe,17,100,44201,Ozone,21340,"El Paso, TX",48,Texas,141,El Paso,31.785769,-106.323578
