Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
2/15/2020,AirNow,210150003,1,0.037,ppm,34,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/16/2020,AirNow,210150003,1,0.026,ppm,24,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/17/2020,AirNow,210150003,1,0.034,ppm,31,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/18/2020,AirNow,210150003,1,0.026,ppm,24,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/19/2020,AirNow,210150003,1,0.032,ppm,30,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/20/2020,AirNow,210150003,1,0.035,ppm,32,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/21/2020,AirNow,210150003,1,0.036,ppm,33,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/22/2020,AirNow,210150003,1,0.037,ppm,34,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/23/2020,AirNow,210150003,1,0.039,ppm,36,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/24/2020,AirNow,210150003,1,0.034,ppm,31,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/25/2020,AirNow,210150003,1,0.024,ppm,22,EAST BEND,18,75,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/26/2020,AirNow,210150003,1,0.036,ppm,33,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/27/2020,AirNow,210150003,1,0.037,ppm,34,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/28/2020,AirNow,210150003,1,0.037,ppm,34,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
2/29/2020,AirNow,210150003,1,0.04,ppm,37,EAST BEND,24,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/1/2020,AQS,210150003,1,0.051,ppm,47,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/2/2020,AQS,210150003,1,0.036,ppm,33,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/3/2020,AQS,210150003,1,0.04,ppm,37,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/4/2020,AQS,210150003,1,0.042,ppm,39,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/5/2020,AQS,210150003,1,0.036,ppm,33,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/6/2020,AQS,210150003,1,0.034,ppm,31,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/7/2020,AQS,210150003,1,0.034,ppm,31,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/8/2020,AQS,210150003,1,0.044,ppm,41,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/9/2020,AQS,210150003,1,0.044,ppm,41,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
3/10/2020,AQS,210150003,1,0.027,ppm,25,EAST BEND,17,100,44201,Ozone,17140,"Cincinnati, OH-KY-IN",21,Kentucky,15,Boone,38.91833,-84.852637
