Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2018,AQS,340130003,1,0.003,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/8/2018,AQS,340130003,1,0.008,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/20/2018,AQS,340130003,1,0.005,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/26/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/1/2018,AQS,340130003,1,0.003,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/7/2018,AQS,340130003,1,0.006,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/13/2018,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/19/2018,AQS,340130003,1,0.003,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/25/2018,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/3/2018,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/9/2018,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/15/2018,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/21/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/27/2018,AQS,340130003,1,0.004,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/2/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/8/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/14/2018,AQS,340130003,1,0.006,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/26/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/2/2018,AQS,340130003,1,0.004,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/8/2018,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/14/2018,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/20/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
6/7/2018,AQS,340130003,1,0.004,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
6/13/2018,AQS,340130003,1,0.004,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
6/19/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
6/25/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
7/7/2018,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
7/13/2018,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
7/19/2018,AQS,340130003,1,0.001,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
7/25/2018,AQS,340130003,1,0.003,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
7/31/2018,AQS,340130003,1,0.003,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
8/6/2018,AQS,340130003,1,0.004,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
8/12/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
8/18/2018,AQS,340130003,1,0,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
8/24/2018,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
8/30/2018,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
9/5/2018,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
9/11/2018,AQS,340130003,1,0.002,ug/m3 LC,.,Newark Firehouse,1,100,85129,Lead PM10 LC FRM/FEM,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
