Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/4/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/10/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/16/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/22/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/28/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/3/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/9/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/15/2020,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/21/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/27/2020,AQS,481410037,1,0.005,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/4/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/10/2020,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/16/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/22/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/28/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
4/3/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
4/9/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
4/15/2020,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
4/21/2020,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
4/27/2020,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/3/2020,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/9/2020,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/15/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/21/2020,AQS,481410037,1,0.003,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
5/27/2020,AQS,481410037,1,0.006,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/2/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/8/2020,AQS,481410037,1,0.007,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/14/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/20/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
6/26/2020,AQS,481410037,1,0.004,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
7/2/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
7/8/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
7/14/2020,AQS,481410037,1,0.001,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
7/20/2020,AQS,481410037,1,0.002,ug/m3 LC,.,El Paso UTEP,1,100,14129,Lead (TSP) LC,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
