Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/6/2020,AQS,60370002,4,0.0015,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/16/2020,AQS,60370002,4,0.00225,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/28/2020,AQS,60370002,4,0.00581,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/10/2020,AQS,60370002,4,0.00285,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
2/24/2020,AQS,60370002,4,0.0177,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/4/2020,AQS,60370002,4,0.00719,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
3/16/2020,AQS,60370002,4,0.0022,ug/m3 SC,.,Azusa,1,100,12128,Lead (TSP) STP,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.1365,-117.92391
1/4/2020,AQS,60371103,2,0.017,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/10/2020,AQS,60371103,2,0.008,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/16/2020,AQS,60371103,2,0.007,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/22/2020,AQS,60371103,2,0.005,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
1/28/2020,AQS,60371103,2,0.008,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/3/2020,AQS,60371103,2,0.007,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/9/2020,AQS,60371103,2,0.003,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/15/2020,AQS,60371103,2,0.007,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/21/2020,AQS,60371103,2,0.01,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
2/27/2020,AQS,60371103,2,0.014,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
3/4/2020,AQS,60371103,2,0.007,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
3/10/2020,AQS,60371103,2,0.002,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
3/16/2020,AQS,60371103,2,0.005,ug/m3 LC,.,Los Angeles-North Main Street,1,100,14129,Lead (TSP) LC,31080,"Los Angeles-Long Beach-Anaheim, CA",6,California,37,Los Angeles,34.06659,-118.22688
