Date,Source,Site ID,POC,Daily Mean Pb Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/4/2020,AQS,170310022,2,0.002,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
1/10/2020,AQS,170310022,2,0.001,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
1/16/2020,AQS,170310022,2,0.005,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
1/22/2020,AQS,170310022,2,0.004,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
1/28/2020,AQS,170310022,2,0.009,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
2/3/2020,AQS,170310022,2,0.005,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
2/9/2020,AQS,170310022,2,0.002,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
2/15/2020,AQS,170310022,2,0.002,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
2/21/2020,AQS,170310022,2,0.036,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
2/27/2020,AQS,170310022,2,0.007,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
3/4/2020,AQS,170310022,2,0.025,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
4/9/2020,AQS,170310022,2,0.016,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
4/15/2020,AQS,170310022,2,0.02,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
4/21/2020,AQS,170310022,2,0.014,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
4/27/2020,AQS,170310022,2,0.013,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
5/3/2020,AQS,170310022,2,0.037,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
5/9/2020,AQS,170310022,2,0.016,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
5/15/2020,AQS,170310022,2,0.004,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
5/21/2020,AQS,170310022,2,0.029,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
5/27/2020,AQS,170310022,2,0.017,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
6/16/2020,AQS,170310022,2,0.009,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
6/20/2020,AQS,170310022,2,0.02,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
6/26/2020,AQS,170310022,2,0.052,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
7/8/2020,AQS,170310022,2,0.028,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
7/14/2020,AQS,170310022,2,0.017,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
7/20/2020,AQS,170310022,2,0.03,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
8/7/2020,AQS,170310022,2,0,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
8/19/2020,AQS,170310022,2,0.021,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
8/25/2020,AQS,170310022,2,0.012,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
8/31/2020,AQS,170310022,2,0.005,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
9/6/2020,AQS,170310022,2,0.006,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
9/12/2020,AQS,170310022,2,0.006,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
9/18/2020,AQS,170310022,2,0.018,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
9/24/2020,AQS,170310022,2,0.027,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
9/30/2020,AQS,170310022,2,0.011,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
10/6/2020,AQS,170310022,2,0.012,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
10/12/2020,AQS,170310022,2,0.014,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
10/18/2020,AQS,170310022,2,0.011,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
10/24/2020,AQS,170310022,2,0.017,ug/m3 LC,.,WASHINGTON HS,1,100,14129,Lead (TSP) LC,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.68716544,-87.53931548
