Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2018,AQS,560210001,1,12,ug/m3 SC,11,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
1/8/2018,AQS,560210001,1,14,ug/m3 SC,13,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
1/14/2018,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
1/20/2018,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
1/26/2018,AQS,560210001,1,4,ug/m3 SC,4,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
2/1/2018,AQS,560210001,1,10,ug/m3 SC,9,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
2/7/2018,AQS,560210001,1,5,ug/m3 SC,5,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
2/13/2018,AQS,560210001,1,9,ug/m3 SC,8,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
2/19/2018,AQS,560210001,1,6,ug/m3 SC,6,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
2/25/2018,AQS,560210001,1,3,ug/m3 SC,3,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/3/2018,AQS,560210001,1,11,ug/m3 SC,10,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/9/2018,AQS,560210001,1,8,ug/m3 SC,7,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/15/2018,AQS,560210001,1,12,ug/m3 SC,11,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/21/2018,AQS,560210001,1,7,ug/m3 SC,6,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
3/27/2018,AQS,560210001,1,7,ug/m3 SC,6,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/2/2018,AQS,560210001,1,10,ug/m3 SC,9,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/8/2018,AQS,560210001,1,4,ug/m3 SC,4,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/14/2018,AQS,560210001,1,4,ug/m3 SC,4,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/20/2018,AQS,560210001,1,22,ug/m3 SC,20,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
4/26/2018,AQS,560210001,1,12,ug/m3 SC,11,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
5/2/2018,AQS,560210001,1,5,ug/m3 SC,5,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
5/8/2018,AQS,560210001,1,10,ug/m3 SC,9,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
5/14/2018,AQS,560210001,1,6,ug/m3 SC,6,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
5/20/2018,AQS,560210001,1,4,ug/m3 SC,4,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
5/26/2018,AQS,560210001,1,17,ug/m3 SC,16,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
6/1/2018,AQS,560210001,1,19,ug/m3 SC,18,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
6/7/2018,AQS,560210001,1,26,ug/m3 SC,24,Cheyenne SLAMS site,1,100,81102,PM10 Total 0-10um STP,16940,"Cheyenne, WY",56,Wyoming,21,Laramie,41.13684585,-104.8182395
