Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2018,AQS,340130003,1,16,ug/m3 SC,15,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/5/2018,AQS,340130003,1,6,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/8/2018,AQS,340130003,1,26,ug/m3 SC,24,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/11/2018,AQS,340130003,1,40,ug/m3 SC,37,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/17/2018,AQS,340130003,1,16,ug/m3 SC,15,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/20/2018,AQS,340130003,1,20,ug/m3 SC,19,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/23/2018,AQS,340130003,1,13,ug/m3 SC,12,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/26/2018,AQS,340130003,1,14,ug/m3 SC,13,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/29/2018,AQS,340130003,1,13,ug/m3 SC,12,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/1/2018,AQS,340130003,1,18,ug/m3 SC,17,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/4/2018,AQS,340130003,1,12,ug/m3 SC,11,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/7/2018,AQS,340130003,1,17,ug/m3 SC,16,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/10/2018,AQS,340130003,1,28,ug/m3 SC,26,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/13/2018,AQS,340130003,1,12,ug/m3 SC,11,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/16/2018,AQS,340130003,1,6,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/19/2018,AQS,340130003,1,20,ug/m3 SC,19,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/22/2018,AQS,340130003,1,5,ug/m3 SC,5,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/25/2018,AQS,340130003,1,7,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/28/2018,AQS,340130003,1,14,ug/m3 SC,13,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/3/2018,AQS,340130003,1,4,ug/m3 SC,4,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/6/2018,AQS,340130003,1,12,ug/m3 SC,11,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/9/2018,AQS,340130003,1,8,ug/m3 SC,7,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/12/2018,AQS,340130003,1,11,ug/m3 SC,10,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/15/2018,AQS,340130003,1,12,ug/m3 SC,11,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/21/2018,AQS,340130003,1,8,ug/m3 SC,7,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/24/2018,AQS,340130003,1,7,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/27/2018,AQS,340130003,1,22,ug/m3 SC,20,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
3/30/2018,AQS,340130003,1,21,ug/m3 SC,19,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/2/2018,AQS,340130003,1,10,ug/m3 SC,9,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/5/2018,AQS,340130003,1,6,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/8/2018,AQS,340130003,1,6,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/11/2018,AQS,340130003,1,20,ug/m3 SC,19,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/14/2018,AQS,340130003,1,38,ug/m3 SC,35,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/17/2018,AQS,340130003,1,3,ug/m3 SC,3,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/26/2018,AQS,340130003,1,7,ug/m3 SC,6,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
4/29/2018,AQS,340130003,1,5,ug/m3 SC,5,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/2/2018,AQS,340130003,1,21,ug/m3 SC,19,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/5/2018,AQS,340130003,1,10,ug/m3 SC,9,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/8/2018,AQS,340130003,1,16,ug/m3 SC,15,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/11/2018,AQS,340130003,1,10,ug/m3 SC,9,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/14/2018,AQS,340130003,1,12,ug/m3 SC,11,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/17/2018,AQS,340130003,1,8,ug/m3 SC,7,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
5/20/2018,AQS,340130003,1,11,ug/m3 SC,10,Newark Firehouse,1,100,81102,PM10 Total 0-10um STP,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
