Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2018,AQS,530330080,2,13,ug/m3 SC,12,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/5/2018,AQS,530330080,2,8,ug/m3 SC,7,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/11/2018,AQS,530330080,2,3,ug/m3 SC,3,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/14/2018,AQS,530330080,2,11,ug/m3 SC,10,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/20/2018,AQS,530330080,2,4,ug/m3 SC,4,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/23/2018,AQS,530330080,2,3,ug/m3 SC,3,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/26/2018,AQS,530330080,2,2,ug/m3 SC,2,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
1/29/2018,AQS,530330080,2,5,ug/m3 SC,5,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/1/2018,AQS,530330080,2,5,ug/m3 SC,5,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
2/4/2018,AQS,530330080,2,1,ug/m3 SC,1,SEATTLE - BEACON HILL,1,100,81102,PM10 Total 0-10um STP,42660,"Seattle-Tacoma-Bellevue, WA",53,Washington,33,King,47.568236,-122.308628
