Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2016,AQS,481410037,1,0.5,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/2/2016,AQS,481410037,1,1.4,ppb,1,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/3/2016,AQS,481410037,1,1.2,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/4/2016,AQS,481410037,1,1,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/5/2016,AQS,481410037,1,1.7,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/6/2016,AQS,481410037,1,1.8,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/7/2016,AQS,481410037,1,1.3,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/8/2016,AQS,481410037,1,1,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/9/2016,AQS,481410037,1,0.9,ppb,0,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/10/2016,AQS,481410037,1,0.6,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/11/2016,AQS,481410037,1,1.4,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/12/2016,AQS,481410037,1,1.3,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/13/2016,AQS,481410037,1,1.4,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/14/2016,AQS,481410037,1,0.9,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/15/2016,AQS,481410037,1,0.9,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/16/2016,AQS,481410037,1,1.1,ppb,1,El Paso UTEP,22,92,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/17/2016,AQS,481410037,1,1.4,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/18/2016,AQS,481410037,1,4.5,ppb,6,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/19/2016,AQS,481410037,1,3.9,ppb,4,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/20/2016,AQS,481410037,1,1.9,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/21/2016,AQS,481410037,1,0.9,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/22/2016,AQS,481410037,1,2.6,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/23/2016,AQS,481410037,1,4.2,ppb,6,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/24/2016,AQS,481410037,1,2.4,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/25/2016,AQS,481410037,1,1.5,ppb,1,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/26/2016,AQS,481410037,1,1,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/27/2016,AQS,481410037,1,1,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/28/2016,AQS,481410037,1,1.5,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/29/2016,AQS,481410037,1,2,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/30/2016,AQS,481410037,1,1.2,ppb,1,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
1/31/2016,AQS,481410037,1,0.8,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/1/2016,AQS,481410037,1,0.8,ppb,0,El Paso UTEP,21,88,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/2/2016,AQS,481410037,1,0.8,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/3/2016,AQS,481410037,1,1.4,ppb,1,El Paso UTEP,21,88,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/4/2016,AQS,481410037,1,1.4,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/5/2016,AQS,481410037,1,1.2,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/6/2016,AQS,481410037,1,1.3,ppb,1,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/7/2016,AQS,481410037,1,0.7,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/8/2016,AQS,481410037,1,1.8,ppb,1,El Paso UTEP,20,83,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/9/2016,AQS,481410037,1,2.7,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/10/2016,AQS,481410037,1,2.8,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/11/2016,AQS,481410037,1,0.8,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/12/2016,AQS,481410037,1,2,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/13/2016,AQS,481410037,1,2.9,ppb,3,El Paso UTEP,22,92,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/14/2016,AQS,481410037,1,0.8,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/15/2016,AQS,481410037,1,0.8,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/16/2016,AQS,481410037,1,2.8,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/17/2016,AQS,481410037,1,2.6,ppb,3,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/18/2016,AQS,481410037,1,2.1,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/19/2016,AQS,481410037,1,3.6,ppb,4,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/20/2016,AQS,481410037,1,2.5,ppb,3,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/21/2016,AQS,481410037,1,1.6,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/22/2016,AQS,481410037,1,1.5,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/23/2016,AQS,481410037,1,1,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/24/2016,AQS,481410037,1,1.9,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/25/2016,AQS,481410037,1,1.7,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/26/2016,AQS,481410037,1,2.5,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/27/2016,AQS,481410037,1,1.6,ppb,1,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/28/2016,AQS,481410037,1,2.5,ppb,3,El Paso UTEP,22,92,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
2/29/2016,AQS,481410037,1,2.4,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/1/2016,AQS,481410037,1,0.8,ppb,0,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/2/2016,AQS,481410037,1,2.1,ppb,3,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/3/2016,AQS,481410037,1,1.1,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/4/2016,AQS,481410037,1,3.4,ppb,4,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/5/2016,AQS,481410037,1,4.2,ppb,6,El Paso UTEP,23,96,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/6/2016,AQS,481410037,1,1.1,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/7/2016,AQS,481410037,1,1.3,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/8/2016,AQS,481410037,1,1.2,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/9/2016,AQS,481410037,1,1.1,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
3/10/2016,AQS,481410037,1,1.8,ppb,1,El Paso UTEP,24,100,42401,Sulfur dioxide,21340,"El Paso, TX",48,Texas,141,El Paso,31.768286,-106.501243
