Date,Source,Site ID,POC,Daily Max 1-hour SO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,340130003,1,1,ppb,1,Newark Firehouse,23,96,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/2/2018,AQS,340130003,1,1.4,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/3/2018,AQS,340130003,1,3.1,ppb,4,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/4/2018,AQS,340130003,1,8.4,ppb,11,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/5/2018,AQS,340130003,1,0.5,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/6/2018,AQS,340130003,1,1.1,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/7/2018,AQS,340130003,1,2.6,ppb,3,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/8/2018,AQS,340130003,1,3.3,ppb,4,Newark Firehouse,23,96,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/9/2018,AQS,340130003,1,1.5,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/10/2018,AQS,340130003,1,1.9,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/11/2018,AQS,340130003,1,4.9,ppb,6,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/12/2018,AQS,340130003,1,0.8,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/13/2018,AQS,340130003,1,0.2,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/14/2018,AQS,340130003,1,1.7,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/15/2018,AQS,340130003,1,0.9,ppb,0,Newark Firehouse,23,96,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/16/2018,AQS,340130003,1,2,ppb,3,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/17/2018,AQS,340130003,1,0.7,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/18/2018,AQS,340130003,1,0.8,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/19/2018,AQS,340130003,1,2.3,ppb,3,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/20/2018,AQS,340130003,1,1.7,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/21/2018,AQS,340130003,1,1.8,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/22/2018,AQS,340130003,1,2.4,ppb,3,Newark Firehouse,23,96,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/23/2018,AQS,340130003,1,0.8,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/24/2018,AQS,340130003,1,0.3,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/25/2018,AQS,340130003,1,0.1,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/26/2018,AQS,340130003,1,0.7,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/27/2018,AQS,340130003,1,0.5,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/28/2018,AQS,340130003,1,0.1,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/29/2018,AQS,340130003,1,0.3,ppb,0,Newark Firehouse,21,88,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/30/2018,AQS,340130003,1,0,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
1/31/2018,AQS,340130003,1,0.5,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/1/2018,AQS,340130003,1,1.4,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/2/2018,AQS,340130003,1,0.4,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/3/2018,AQS,340130003,1,1.2,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/4/2018,AQS,340130003,1,0.5,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/5/2018,AQS,340130003,1,0.7,ppb,0,Newark Firehouse,23,96,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/6/2018,AQS,340130003,1,1,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/7/2018,AQS,340130003,1,1,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/8/2018,AQS,340130003,1,0.7,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/9/2018,AQS,340130003,1,1.4,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/10/2018,AQS,340130003,1,1.1,ppb,1,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/11/2018,AQS,340130003,1,0.7,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/12/2018,AQS,340130003,1,0.1,ppb,0,Newark Firehouse,23,96,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/13/2018,AQS,340130003,1,0.8,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/14/2018,AQS,340130003,1,0.7,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/15/2018,AQS,340130003,1,0.9,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/16/2018,AQS,340130003,1,0.1,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/17/2018,AQS,340130003,1,0.6,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/18/2018,AQS,340130003,1,0.8,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/19/2018,AQS,340130003,1,1.2,ppb,1,Newark Firehouse,23,96,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/20/2018,AQS,340130003,1,0.8,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/21/2018,AQS,340130003,1,0.4,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/22/2018,AQS,340130003,1,0.1,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/23/2018,AQS,340130003,1,0.2,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/24/2018,AQS,340130003,1,0.2,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/25/2018,AQS,340130003,1,0.2,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/26/2018,AQS,340130003,1,0.6,ppb,0,Newark Firehouse,23,96,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/27/2018,AQS,340130003,1,0.4,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
2/28/2018,AQS,340130003,1,0.6,ppb,0,Newark Firehouse,24,100,42401,Sulfur dioxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",34,New Jersey,13,Essex,40.720989,-74.192892
